Personaje 1,Personaje 2,Interacciones
Capitan Garfio,Tik Tak,1
Kairi,Abuela de Kairi,1
Riku,Bestia,5
Bestia,Sora,6
Bestia,Goofy,5
Bestia,Donald,5
Jasmine,Cenicienta,2
Jasmine,Kairi,2
Jasmine,Alicia,2
Jasmine,Blancanieves,2
Jasmine,Bella,2
Jasmine,La Bella Durmiente,2
Cenicienta,Kairi,2
Cenicienta,Alicia,2
Cenicienta,Blancanieves,2
Cenicienta,Bella,2
Cenicienta,La Bella Durmiente,2
Cenicienta,Malefica,1
Kairi,Alicia,2
Kairi,Blancanieves,2
Kairi,Bella,2
Kairi,La Bella Durmiente,2
Alicia,Blancanieves,2
Alicia,Bella,2
Alicia,La Bella Durmiente,2
Blancanieves,Bella,2
Blancanieves,La Bella Durmiente,2
Blancanieves,Malefica,1
Bella,La Bella Durmiente,2
Bella,Malefica,1
La Bella Durmiente,Malefica,1
Riku,Ansem (Xehanort),2
Malefica,Bestia,1
Sora,Xemnas,1
Goofy,Xemnas,1
Donald,Xemnas,1
Sora,Blancanieves,1
Sora,Bella,1
Sora,Cenicienta,1
Sora,La Bella Durmiente,1
Goofy,Blancanieves,1
Goofy,Bella,1
Goofy,Cenicienta,1
Goofy,La Bella Durmiente,1
Donald,Blancanieves,1
Donald,Bella,1
Donald,Cenicienta,1
Donald,La Bella Durmiente,1
Goofy,Ansem (Xehanort),5
Donald,Ansem (Xehanort),5
Kairi,Ansem (Xehanort),1
Kairi,Bestia,1
Squall,Kairi,1
Aerith,Kairi,1
Yuffie,Kairi,1
Bestia,Bella,1
Sora,Mickey,1
Goofy,Mickey,1
Donald,Mickey,1
Mickey,Riku,1
Sora,Sephiroth,1
Sephiroth,Cloud,1
